region,annee,type,nb_etab,nb_ecrans,nb_fauteuils,nb_seances,nb_entrees,recette,rme,indice_freq,tmof
AUVERGNE-RHONE-ALPES,2020,G,6.0,75.0,14844.0,63442.0,1088654.0,8167376.0,7.502269775337251,0.1381944319266872,8.826621833608513
BOURGOGNE-FRANCHE-COMTE,2020,G,0,0,0,0,0,0,0,0,0
BRETAGNE,2020,G,0,0,0,0,0,0,0,0,0
CENTRE-VAL DE LOIRE,2020,G,0,0,0,0,0,0,0,0,0
CORSE,2020,G,0,0,0,0,0,0,0,0,0
GRAND EST,2020,G,0,0,0,0,0,0,0,0,0
HAUTS-DE-FRANCE,2020,G,1.0,23.0,7358.0,16567.0,530196.0,4140273.0,7.8089480116787,0.08821932067615577,9.84465675459585
ILE-DE-FRANCE,2020,G,12.0,164.0,29813.0,172633.13364596464,4044604.813441952,28870742.248078704,7.138087298944232,0.33475886510224945,13.198864328073501
NORMANDIE,2020,G,0,0,0,0,0,0,0,0,0
NOUVELLE AQUITAINE,2020,G,4.0,52.0,7979.0,48875.0,643826.0,4143775.0,6.436172195593219,0.10891109877353936,8.632578609875765
OCCITANIE,2020,G,4.0,41.0,8956.0,38059.0,973487.0,7177122.0,7.372591518941701,0.16859297026333586,12.049150297674304
PAYS DE LA LOIRE,2020,G,0,0,0,0,0,0,0,0,0
PROVENCE-ALPES-COTE D'AZUR,2020,G,6.0,65.0,11671.0,58354.0,991808.0,8128398.0,8.19553582951539,0.19804563798915212,9.48672796610899
AUVERGNE-RHONE-ALPES,1966,T,0,586,252759,0,21911664,11430225.6093006,0.521650277646673,3.84078381797855,0.0
AUVERGNE-RHONE-ALPES,1967,T,0,563,244198,0,20066356,11478893.1286654,0.572046719826233,3.51732919100059,0.0
AUVERGNE-RHONE-ALPES,1968,T,0,543,237316,0,19271896,11365514.2029127,0.589745513514223,3.3780723498939,0.0
AUVERGNE-RHONE-ALPES,1969,T,0,532,232259,0,17968172,11956259.0230762,0.665413210819454,3.14954921982444,0.0
AUVERGNE-RHONE-ALPES,1970,T,0,506,220107,0,18166206,13135298.0454512,0.723062264374364,3.18426158957462,0.0
AUVERGNE-RHONE-ALPES,1971,T,0,482,207457,0,17492467,14105632.5338399,0.806383258224233,3.06616531679766,0.0
AUVERGNE-RHONE-ALPES,1972,T,0,472,199148,0,18196735,16212011.9154152,0.890929714336951,2.97762226273461,0.0
AUVERGNE-RHONE-ALPES,1973,T,0,496,197696,0,17775071,17734351.3370541,0.997709170166134,2.90862328496229,0.0
AUVERGNE-RHONE-ALPES,1974,T,0,498,194290,0,18358414,20665546.0647573,1.12567164379,3.0040786017326,0.0
AUVERGNE-RHONE-ALPES,1975,T,0,517,194004,0,18390913,23638908.6479754,1.28535808135112,3.00939657475999,0.0
AUVERGNE-RHONE-ALPES,1976,T,0,540,185883,0,18350318,27049095.9011033,1.47403962705732,3.00275381298126,0.0
AUVERGNE-RHONE-ALPES,1977,T,0,545,178148,0,17758345,28833539.0886903,1.62366138785401,2.90588632638337,0.0
AUVERGNE-RHONE-ALPES,1978,T,0,547,169086,0,18887505,33478896.0251968,1.77254200727925,3.09065639388116,0.0
AUVERGNE-RHONE-ALPES,1979,T,0,548,162140,0,18863358,36792584.7273526,1.95047905719398,2.97125094016421,0.0
AUVERGNE-RHONE-ALPES,1980,T,0,573,159098,0,18331852,45259608.1755359,2.46890538803913,2.88753107956447,0.0
AUVERGNE-RHONE-ALPES,1981,T,0,624,159281,0,21032621,58207333.1026272,2.76747881790991,3.31294114867393,0.0
AUVERGNE-RHONE-ALPES,1982,T,0,669,163698,0,23249386,71599154.2128524,3.07961484285445,3.66211360727717,0.0
AUVERGNE-RHONE-ALPES,1983,T,0,693,164113,0,23369900,77037324.0928902,3.29643362157691,3.68109630038,0.0
AUVERGNE-RHONE-ALPES,1984,T,0,736,163647,0,22499245,78516738.5971946,3.48974992703954,3.54395558093288,0.0
AUVERGNE-RHONE-ALPES,1985,T,0,742,161368,0,20815850,76985636.4060449,3.69841425673441,3.27879658981275,0.0
AUVERGNE-RHONE-ALPES,1986,T,0,743,157166,0,20335022,79981038.0975636,3.93316703063137,3.20305924511213,0.0
AUVERGNE-RHONE-ALPES,1987,T,0,728,150376,0,17023667,70344727.4090118,4.13217241532355,2.55154135719634,0.0
AUVERGNE-RHONE-ALPES,1988,T,0,706,144649,0,15109520,65793363.2098922,4.35443093891988,2.26464522176576,0.0
AUVERGNE-RHONE-ALPES,1989,T,0,692,139992,0,14847195,67472589.2099455,4.54446693232551,2.22532744331182,0.0
AUVERGNE-RHONE-ALPES,1990,T,0,674,134699,0,14905719,70265099.0754947,4.71396909466025,2.23409906746736,0.0
AUVERGNE-RHONE-ALPES,1991,T,0,657,131002,0,14062985,69716322.2495447,4.95743397883389,2.10778847118862,0.0
AUVERGNE-RHONE-ALPES,1992,T,343,630,122219,476935,13724983,69573631.56,5.06912333224748,2.05712797600089,16.1702762714857
AUVERGNE-RHONE-ALPES,1993,T,336,624,120906,486367,15757406,79332115.02,5.03459230662712,2.36175161104421,17.9554688952677
AUVERGNE-RHONE-ALPES,1994,T,335,630,119541,493463,14609116,73424213.18,5.02591759693057,2.18964360307348,16.668852422804
AUVERGNE-RHONE-ALPES,1995,T,342,637,121694,486970,15480249,77613595.14,5.0137174886528,2.22600152280213,17.9585044801746
AUVERGNE-RHONE-ALPES,1996,T,343,640,121573,520165,16453088,82940717.57,5.04104260367416,2.36589210824693,17.9853428055997
AUVERGNE-RHONE-ALPES,1997,T,347,677,130246,553273,17727150,89792256.68,5.0652392900156,2.54909742698207,17.9788743776261
AUVERGNE-RHONE-ALPES,1998,T,349,680,128791,587400,20856461,109433612.75,5.24698858305827,2.99908056687352,20.004834586666
AUVERGNE-RHONE-ALPES,1999,T,359,692,130611,594903,18394453,96158463.95,5.22757942027415,2.64505308597505,17.2586326973398
AUVERGNE-RHONE-ALPES,2000,T,353,733,139747,622932,19008906,100498791.4,5.28693189392383,2.73340911394917,16.9145275483661
AUVERGNE-RHONE-ALPES,2001,T,352,750,142154,707856,22873352,123161483.42,5.38449648394341,3.28910189904498,17.4858310607123
AUVERGNE-RHONE-ALPES,2002,T,350,758,143018,719427,22558370,125305327.37,5.5547154945149,3.24380867335751,16.822008182992
AUVERGNE-RHONE-ALPES,2003,T,349,758,142318,719121,20641207,117023592.69,5.66941616786267,2.80556733912528,15.5580838475906
AUVERGNE-RHONE-ALPES,2004,T,346,742,137016,710622,23491871,135600384.97,5.77222584654922,3.19303159028172,18.335591654984
AUVERGNE-RHONE-ALPES,2005,T,339,728,129280,709832,20775111,121900509.11,5.86762251763661,2.63720581824792,16.6649926894617
AUVERGNE-RHONE-ALPES,2006,T,343,746,133553,712729,22112601,131631439.94,5.95277959114805,2.80698765045322,17.3100818513218
AUVERGNE-RHONE-ALPES,2007,T,345,752,135020,721752,20923819,125453484.78,5.9957259609252,2.65608290645313,16.16225059448
AUVERGNE-RHONE-ALPES,2008,T,350,773,138059,762533,22103447,134461836.51,6.08329716672698,2.80582563586469,16.0922145695977
AUVERGNE-RHONE-ALPES,2009,T,349,782,141161,796997,23755780,148209183.56,6.23886833267525,3.01557383895651,16.5130714133627
AUVERGNE-RHONE-ALPES,2010,T,344,773,139313,807068,24860925,160600719.6,6.4599655724797,3.15586164892333,17.1114703361398
AUVERGNE-RHONE-ALPES,2011,T,339,780,140501,835241,25698252,166001632.61,6.45964685107765,3.26215247144534,16.970925539358
AUVERGNE-RHONE-ALPES,2012,T,334,797,143506,875638,24090954,157762434.62,6.54861715397406,3.05812103992816,15.0770603475028
AUVERGNE-RHONE-ALPES,2013,T,321,784,140880,891363,23464333,154143041.05,6.56924878495374,2.97857737120666,14.4558724552767
AUVERGNE-RHONE-ALPES,2014,T,316,777,140105,932447,25055757,161929676.31,6.46277325845713,3.18059374705656,14.7788329386434
AUVERGNE-RHONE-ALPES,2015,T,324,796,144093,948712,24662338,161454839.19,6.54661529616535,3.13065288869921,14.3451768104315
AUVERGNE-RHONE-ALPES,2016,T,324,802,141633,965492,25678357,168518597.85,6.56267057312117,3.25962698747781,14.9717850086694
AUVERGNE-RHONE-ALPES,2017,T,325,827,149235,994348,24745051,163990923.15,6.62722106129424,3.14115252958415,13.8283329860191
AUVERGNE-RHONE-ALPES,2018,T,324,833,149098,1053402,24306152,161500265.15,6.6444192873475,3.08543841106882,12.9633167417143
AUVERGNE-RHONE-ALPES,2019,T,323,830,148220,1056078,25620393,173680908.45,6.7790103161181,3.25226900041103,13.7060857489645
AUVERGNE-RHONE-ALPES,2020,T,323,837,148640,523101,7798079,51911955.22,6.65701837850066,0.98989311344507,8.44729336643524
BOURGOGNE-FRANCHE-COMTE,1966,T,0,245,105681,0,8187668,3552628.4497307,0.433899915058927,3.281132044471,0.0
BOURGOGNE-FRANCHE-COMTE,1967,T,0,235,100547,0,7533834,3663063.73740962,0.486215084830594,3.01911413055892,0.0
BOURGOGNE-FRANCHE-COMTE,1968,T,0,227,97213,0,7211505,3596569.43976511,0.498726609738897,2.88994377206829,0.0
BOURGOGNE-FRANCHE-COMTE,1969,T,0,217,93126,0,6401716,3593348.80182695,0.561310248974954,2.56542833773948,0.0
BOURGOGNE-FRANCHE-COMTE,1970,T,0,214,92150,0,6579236,4027308.95470282,0.61212410600605,2.63656783198063,0.0
BOURGOGNE-FRANCHE-COMTE,1971,T,0,208,88840,0,6240679,4216850.03742623,0.675703723493266,2.50089425293713,0.0
BOURGOGNE-FRANCHE-COMTE,1972,T,0,211,89972,0,6716883,5167124.06453472,0.769274091053055,2.55272493026155,0.0
